WaferID,BTM_X,BTM_Y,DMT_X,DMT_Y,BTM_Thickness,DMT_Thickness,Distance_mm,Thickness_Difference,Abs_Thickness_Difference
DP3JB030JKA5,142.4,-36.4,141.0,-36.0,12396,12375.44,1.4560219778561088,20.55999999999949,20.55999999999949
DP3JB030JKA5,-136.2,-57.9,-135.0,-57.0,12512,12396.66,1.49999999999999,115.34000000000015,115.34000000000015
DP3JB030JKA5,-136.2,57.9,-135.0,57.0,12505,12391.45,1.49999999999999,113.54999999999927,113.54999999999927
DP3JB030JKA5,-57.9,-136.2,-57.0,-135.0,12494,12393.9,1.49999999999999,100.10000000000036,100.10000000000036
DP3JB030JKA5,-57.9,136.2,-57.0,135.0,12493,12386.17,1.49999999999999,106.82999999999993,106.82999999999993
DP3JB030JKA5,57.9,-136.2,57.0,-135.0,12494,12397.31,1.49999999999999,96.69000000000051,96.69000000000051
3JEXP318SLA6,19.3,19.3,18.0,18.0,12474,12509.88,1.8384776310850246,-35.8799999999992,35.8799999999992
3JEXP318SLA6,-47.5,-36.4,-48.0,-36.0,12461,12497.54,0.640312423743284,-36.54000000000087,36.54000000000087
3JEXP318SLA6,-57.9,19.3,-57.0,18.0,12464,12503.21,1.5811388300841893,-39.20999999999913,39.20999999999913
3JEXP318SLA6,-19.3,-57.9,-18.0,-57.0,12447,12485.05,1.5811388300841893,-38.04999999999927,38.04999999999927
3JEXP318SLA6,-19.3,57.9,-18.0,57.0,12463,12501.33,1.5811388300841893,-38.32999999999993,38.32999999999993
3JEXP318SLA6,71.2,-3.6,72.0,-3.0,12432,12466.47,0.9999999999999978,-34.469999999999345,34.469999999999345
3JEXP318SLA6,57.9,57.9,57.0,57.0,12392,12430.99,1.2727922061357835,-38.98999999999978,38.98999999999978
3JEXP318SLA6,-71.2,61.9,-72.0,63.0,12373,12408.72,1.3601470508735438,-35.719999999999345,35.719999999999345
3JEXP318SLA6,19.3,-96.5,18.0,-96.0,12351,12392.17,1.3928388277184127,-41.17000000000007,41.17000000000007
3JEXP318SLA6,19.3,96.5,18.0,96.0,12365,12402.53,1.3928388277184127,-37.530000000000655,37.530000000000655
3JEXP318SLA6,96.5,19.3,96.0,18.0,12374,12416.48,1.3928388277184127,-42.47999999999956,42.47999999999956
3JEXP318SLA6,71.2,-69.2,72.0,-69.0,12358,12395.48,0.82462112512353,-37.47999999999956,37.47999999999956
3JEXP318SLA6,-96.5,-57.9,-96.0,-57.0,12315,12356.81,1.0295630140986987,-41.80999999999949,41.80999999999949
3JEXP318SLA6,-57.9,-96.5,-57.0,-96.0,12314,12355.7,1.0295630140986987,-41.70000000000073,41.70000000000073
3JEXP318SLA6,-57.9,96.5,-57.0,96.0,12328,12366.62,1.0295630140986987,-38.6200000000008,38.6200000000008
3JEXP318SLA6,94.9,61.8,96.0,63.0,12353,12390.86,1.6278820596099688,-37.86000000000058,37.86000000000058
3JEXP318SLA6,-118.6,-3.6,-120.0,-3.0,12311,12348.33,1.523154621172787,-37.32999999999993,37.32999999999993
3JEXP318SLA6,0.0,127.4,0.0,126.0,12309,12352.32,1.4000000000000057,-43.31999999999971,43.31999999999971
3JEXP318SLA6,0.0,-134.7,0.0,-135.0,12304,12344.71,0.30000000000001137,-40.70999999999913,40.70999999999913
3JEXP318SLA6,-96.5,96.5,-96.0,96.0,12297,12334.17,0.7071067811865476,-37.17000000000007,37.17000000000007
3JEXP318SLA6,96.5,-96.5,96.0,-96.0,12320,12359.01,0.7071067811865476,-39.01000000000022,39.01000000000022
3JEXP318SLA6,136.2,19.3,135.0,18.0,12351,12385.36,1.769180601295406,-34.36000000000058,34.36000000000058
3JEXP318SLA6,71.2,127.4,72.0,126.0,12380,12403.62,1.6124515496597134,-23.6200000000008,23.6200000000008
3JEXP318SLA6,142.4,-36.4,141.0,-36.0,12486,12458.81,1.4560219778561088,27.19000000000051,27.19000000000051
3JEXP318SLA6,-136.2,-57.9,-135.0,-57.0,12545,12441.21,1.49999999999999,103.79000000000087,103.79000000000087
3JEXP318SLA6,-136.2,57.9,-135.0,57.0,12556,12443.42,1.49999999999999,112.57999999999993,112.57999999999993
3JEXP318SLA6,-57.9,-136.2,-57.0,-135.0,12536,12436.51,1.49999999999999,99.48999999999978,99.48999999999978
3JEXP318SLA6,-57.9,136.2,-57.0,135.0,12557,12449.97,1.49999999999999,107.03000000000065,107.03000000000065
3JEXP318SLA6,57.9,-136.2,57.0,-135.0,12570,12465.5,1.49999999999999,104.5,104.5
GL5KX072SEF7,19.3,19.3,18.0,18.0,12487,12521.69,1.8384776310850246,-34.69000000000051,34.69000000000051
GL5KX072SEF7,-47.5,-36.4,-48.0,-36.0,12414,12447.56,0.640312423743284,-33.55999999999949,33.55999999999949
GL5KX072SEF7,-57.9,19.3,-57.0,18.0,12412,12448.24,1.5811388300841893,-36.23999999999978,36.23999999999978
GL5KX072SEF7,-19.3,-57.9,-18.0,-57.0,12404,12439.12,1.5811388300841893,-35.1200000000008,35.1200000000008
GL5KX072SEF7,-19.3,57.9,-18.0,57.0,12404,12441.05,1.5811388300841893,-37.04999999999927,37.04999999999927
GL5KX072SEF7,71.2,-3.6,72.0,-3.0,12364,12397.06,0.9999999999999978,-33.05999999999949,33.05999999999949
GL5KX072SEF7,57.9,57.9,57.0,57.0,12345,12383.79,1.2727922061357835,-38.79000000000087,38.79000000000087
GL5KX072SEF7,-71.2,61.9,-72.0,63.0,12329,12362.76,1.3601470508735438,-33.76000000000022,33.76000000000022
GL5KX072SEF7,19.3,-96.5,18.0,-96.0,12309,12348.53,1.3928388277184127,-39.530000000000655,39.530000000000655
GL5KX072SEF7,19.3,96.5,18.0,96.0,12313,12351.47,1.3928388277184127,-38.469999999999345,38.469999999999345
GL5KX072SEF7,96.5,19.3,96.0,18.0,12299,12335.34,1.3928388277184127,-36.340000000000146,36.340000000000146
GL5KX072SEF7,71.2,-69.2,72.0,-69.0,12298,12334.21,0.82462112512353,-36.20999999999913,36.20999999999913
GL5KX072SEF7,-96.5,-57.9,-96.0,-57.0,12295,12330.35,1.0295630140986987,-35.350000000000364,35.350000000000364
GL5KX072SEF7,-57.9,-96.5,-57.0,-96.0,12290,12326.11,1.0295630140986987,-36.11000000000058,36.11000000000058
GL5KX072SEF7,-57.9,96.5,-57.0,96.0,12286,12323.87,1.0295630140986987,-37.8700000000008,37.8700000000008
GL5KX072SEF7,94.9,61.8,96.0,63.0,12274,12307.92,1.6278820596099688,-33.92000000000007,33.92000000000007
